,instant;dteday;season;yr;mnth;holiday;weekday;workingday;weathersit;temp;atemp;hum;windspeed;casual;registered;cnt
0,1;01/01/2011;1;0;1;0;6;0;2;0.344167;0.363625;0.805833;0.160446;331;654;985
1,2;02/01/2011;1;0;1;0;0;0;2;0.363478;0.353739;0.696087;0.248539;131;670;801
2,3;03/01/2011;1;0;1;0;1;1;1;0.196364;0.189405;0.437273;0.248309;120;1229;1349
3,4;04/01/2011;1;0;1;0;2;1;1;00.02;0.212122;0.590435;0.160296;108;1454;1562
4,6;06/01/2011;1;0;1;0;4;1;1;0.204348;0.233209;0.518261;0.0895652;88;1518;1606
5,7;07/01/2011;1;0;1;0;5;1;2;0.196522;0.208839;0.498696;0.168726;148;1362;1510
6,9;09/01/2011;1;0;1;0;0;0;1;0.138333;0.116175;0.434167;0.36195;54;768;822
7,10;10/01/2011;1;0;1;0;1;1;1;0.150833;0.150888;0.482917;0.223267;41;1280;1321
8,11;11/01/2011;1;0;1;0;2;1;2;0.169091;0.191464;0.686364;0.122132;43;1220;1263
9,12;12/01/2011;1;0;1;0;3;1;1;0.172727;0.160473;0.599545;0.304627;25;1137;1162
10,14;14/01/2011;1;0;1;0;5;1;1;0.16087;0.188413;0.537826;0.126548;54;1367;1421
11,15;15/01/2011;1;0;1;0;6;0;2;0.233333;0.248112;0.49875;0.157963;222;1026;1248
12,16;16/01/2011;1;0;1;0;0;0;1;0.231667;0.234217;0.48375;0.188433;251;953;1204
13,18;18/01/2011;1;0;1;0;2;1;2;0.216667;0.232333;0.861667;0.146775;9;674;683
14,19;19/01/2011;1;0;1;0;3;1;2;0.292174;0.298422;0.741739;0.208317;78;1572;1650
15,20;20/01/2011;1;0;1;0;4;1;2;0.261667;0.25505;0.538333;0.195904;83;1844;1927
16,22;22/01/2011;1;0;1;0;6;0;1;0.0591304;0.0790696;00.04;0.17197;93;888;981
17,24;24/01/2011;1;0;1;0;1;1;1;0.0973913;0.11793;0.491739;0.15833;86;1330;1416
18,25;25/01/2011;1;0;1;0;2;1;2;0.223478;0.234526;0.616957;0.129796;186;1799;1985
19,29;29/01/2011;1;0;1;0;6;0;1;0.196522;0.212126;0.651739;0.145365;123;975;1098
20,30;30/01/2011;1;0;1;0;0;0;1;0.216522;0.250322;0.722174;0.0739826;140;956;1096
21,31;31/01/2011;1;0;1;0;1;1;2;0.180833;0.18625;0.60375;0.187192;42;1459;1501
22,32;01/02/2011;1;0;2;0;2;1;2;0.192174;0.23453;0.829565;0.053213;47;1313;1360
23,33;02/02/2011;1;0;2;0;3;1;2;00.26;0.254417;0.775417;0.264308;72;1454;1526
24,34;03/02/2011;1;0;2;0;4;1;1;0.186957;0.177878;0.437826;0.277752;61;1489;1550
25,35;04/02/2011;1;0;2;0;5;1;2;0.211304;0.228587;0.585217;0.127839;88;1620;1708
26,36;05/02/2011;1;0;2;0;6;0;2;0.233333;0.243058;0.929167;0.161079;100;905;1005
27,38;07/02/2011;1;0;2;0;1;1;1;0.271667;0.303658;0.738333;0.0454083;120;1592;1712
28,39;08/02/2011;1;0;2;0;2;1;1;0.220833;0.198246;0.537917;0.36195;64;1466;1530
29,40;09/02/2011;1;0;2;0;3;1;2;0.134783;0.144283;0.494783;0.188839;53;1552;1605
30,41;10/02/2011;1;0;2;0;4;1;1;0.144348;0.149548;0.437391;0.221935;47;1491;1538
31,42;11/02/2011;1;0;2;0;5;1;1;0.189091;0.213509;0.506364;0.10855;149;1597;1746
32,44;13/02/2011;1;0;2;0;0;0;1;0.316522;0.324113;0.457391;0.260883;397;1192;1589
33,46;15/02/2011;1;0;2;0;2;1;1;0.266087;0.254274;0.314348;0.291374;140;1675;1815
34,49;18/02/2011;1;0;2;0;5;1;1;0.521667;0.511983;0.516667;0.264925;579;2348;2927
35,50;19/02/2011;1;0;2;0;6;0;1;0.399167;0.391404;0.187917;0.507463;532;1103;1635
36,51;20/02/2011;1;0;2;0;0;0;1;0.285217;0.27733;0.407826;0.223235;639;1173;1812
37,53;22/02/2011;1;0;2;0;2;1;1;0.182222;0.186033;0.577778;0.195683;74;1376;1450
38,54;23/02/2011;1;0;2;0;3;1;1;0.221739;0.245717;0.423043;0.094113;139;1778;1917
39,55;24/02/2011;1;0;2;0;4;1;2;0.295652;0.289191;0.697391;0.250496;100;1707;1807
40,56;25/02/2011;1;0;2;0;5;1;2;0.364348;0.350461;0.712174;0.346539;120;1341;1461
41,59;28/02/2011;1;0;2;0;1;1;2;0.407273;0.400118;0.876364;0.289686;81;1365;1446
42,62;03/03/2011;1;0;3;0;4;1;1;0.198333;0.200133;0.318333;0.225754;123;1562;1685
43,63;04/03/2011;1;0;3;0;5;1;2;0.261667;0.255679;0.610417;0.203346;214;1730;1944
44,64;05/03/2011;1;0;3;0;6;0;2;0.384167;0.378779;0.789167;0.251871;640;1437;2077
45,65;06/03/2011;1;0;3;0;0;0;2;0.376522;0.366252;0.948261;0.343287;114;491;605
46,66;07/03/2011;1;0;3;0;1;1;1;0.261739;0.238461;0.551304;0.341352;244;1628;1872
47,68;09/03/2011;1;0;3;0;3;1;2;0.295833;0.286608;0.775417;0.22015;191;1700;1891
48,69;10/03/2011;1;0;3;0;4;1;3;0.389091;0.385668;0;0.261877;46;577;623
49,71;12/03/2011;1;0;3;0;6;0;1;0.329167;0.32575;0.594583;0.220775;724;1408;2132
50,72;13/03/2011;1;0;3;0;0;0;1;0.384348;0.380091;0.527391;0.270604;982;1435;2417
51,74;15/03/2011;1;0;3;0;2;1;2;0.317391;0.318178;0.655652;0.184309;289;1767;2056
52,75;16/03/2011;1;0;3;0;3;1;2;0.365217;0.36693;0.776522;0.203117;321;1871;2192
53,77;18/03/2011;1;0;3;0;5;1;1;00.54;0.527009;0.525217;0.231017;884;2355;3239
54,80;21/03/2011;2;0;3;0;1;1;2;0.430435;0.409735;0.737391;0.288783;401;1676;2077
55,81;22/03/2011;2;0;3;0;2;1;1;0.441667;0.440642;0.624583;0.22575;460;2243;2703
56,82;23/03/2011;2;0;3;0;3;1;2;0.346957;0.337939;0.839565;0.234261;203;1918;2121
57,85;26/03/2011;2;0;3;0;6;0;1;0.265833;0.257571;0.394167;0.209571;981;1515;2496
58,87;28/03/2011;2;0;3;0;1;1;1;0.264348;0.257574;0.302174;0.212204;222;1806;2028
59,89;30/03/2011;2;0;3;0;3;1;2;00.03;0.29735;0.646667;0.172888;168;1368;1536
60,90;31/03/2011;2;0;3;0;4;1;3;0.268333;0.257575;0.918333;0.217646;179;1506;1685
61,91;01/04/2011;2;0;4;0;5;1;2;00.03;0.283454;0.68625;0.258708;307;1920;2227
62,93;03/04/2011;2;0;4;0;0;0;1;0.378333;0.378767;00.48;0.182213;1651;1598;3249
63,94;04/04/2011;2;0;4;0;1;1;1;0.573333;0.542929;0.42625;0.385571;734;2381;3115
64,95;05/04/2011;2;0;4;0;2;1;2;0.414167;0.39835;0.642083;0.388067;167;1628;1795
65,96;06/04/2011;2;0;4;0;3;1;1;0.390833;0.387608;0.470833;0.263063;413;2395;2808
66,98;08/04/2011;2;0;4;0;5;1;2;0.335833;0.324479;0.83625;0.226992;172;1299;1471
67,101;11/04/2011;2;0;4;0;1;1;2;0.595652;0.565217;0.716956;0.324474;855;2493;3348
68,105;15/04/2011;2;0;4;1;5;0;1;0.446667;0.441913;0.67125;0.226375;642;2484;3126
69,106;16/04/2011;2;0;4;0;6;0;3;0.430833;0.425492;0.888333;0.340808;121;674;795
70,107;17/04/2011;2;0;4;0;0;0;1;0.456667;0.445696;0.479583;0.303496;1558;2186;3744
71,109;19/04/2011;2;0;4;0;2;1;2;0.505833;0.489258;0.665833;0.157971;409;2795;3204
72,111;21/04/2011;2;0;4;0;4;1;1;0.459167;0.453892;0.407083;0.325258;745;3444;4189
73,112;22/04/2011;2;0;4;0;5;1;2;0.336667;0.321954;0.729583;0.219521;177;1506;1683
74,113;23/04/2011;2;0;4;0;6;0;2;00.46;0.450121;0.887917;0.230725;1462;2574;4036
75,114;24/04/2011;2;0;4;0;0;0;2;0.581667;0.551763;0.810833;0.192175;1710;2481;4191
76,119;29/04/2011;2;0;4;0;5;1;1;00.51;0.497463;0.457083;0.240063;878;3717;4595
77,121;01/05/2011;2;0;5;0;0;0;2;0.451667;0.448204;0.762083;0.106354;1138;2213;3351
78,123;03/05/2011;2;0;5;0;2;1;2;0.616667;0.582079;0.697083;0.342667;603;3848;4451
79,124;04/05/2011;2;0;5;0;3;1;2;0.414167;0.40465;0.737083;0.328996;255;2378;2633
80,125;05/05/2011;2;0;5;0;4;1;1;0.459167;0.441917;0.444167;0.295392;614;3819;4433
81,126;06/05/2011;2;0;5;0;5;1;1;0.479167;0.474117;00.59;0.228246;894;3714;4608
82,127;07/05/2011;2;0;5;0;6;0;1;00.52;0.512621;0.54125;0.16045;1612;3102;4714
83,128;08/05/2011;2;0;5;0;0;0;1;0.528333;0.518933;0.631667;0.0746375;1401;2932;4333
84,137;17/05/2011;2;0;5;0;2;1;2;0.561667;0.538529;0.837917;0.277354;678;3445;4123
85,139;19/05/2011;2;0;5;0;4;1;2;0.530833;0.510742;0.829583;0.108213;735;3840;4575
86,140;20/05/2011;2;0;5;0;5;1;1;0.536667;0.529042;0.719583;0.125013;909;4008;4917
87,145;25/05/2011;2;0;5;0;3;1;1;0.660833;0.615542;0.69625;0.154233;740;4238;4978
88,147;27/05/2011;2;0;5;0;5;1;1;0.681667;0.637008;0.65375;0.240679;871;3808;4679
89,148;28/05/2011;2;0;5;0;6;0;1;0.655833;0.612379;0.729583;0.230092;2001;2757;4758
90,152;01/06/2011;2;0;6;0;3;1;2;0.764167;0.720967;0.677083;0.207092;513;3461;3974
91,157;06/06/2011;2;0;6;0;1;1;1;0.678333;0.621858;00.06;0.121896;673;3875;4548
92,159;08/06/2011;2;0;6;0;3;1;1;0.775833;0.727279;0.622083;0.136817;676;3725;4401
93,160;09/06/2011;2;0;6;0;4;1;2;0.808333;0.757579;0.568333;0.149883;563;3352;3915
94,165;14/06/2011;2;0;6;0;2;1;1;0.604167;0.591546;0.507083;0.269283;727;4164;4891
95,166;15/06/2011;2;0;6;0;3;1;1;0.626667;0.587754;0.471667;0.167912;769;4411;5180
96,167;16/06/2011;2;0;6;0;4;1;2;0.628333;0.595346;0.688333;0.206471;545;3222;3767
